Countries,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Albania,9.44 ,9.39 ,9.34 ,9.34 ,9.4 ,9.58 ,9.92 ,10.46 ,11.21 ,12.17 ,13.29 ,14.49 ,15.76 ,17.1 ,18.52 ,19.98 ,21.46 ,22.93 ,24.38 ,25.8 ,27.18 
Andorra,2.85 ,2.95 ,3.06 ,3.2 ,3.35 ,3.53 ,3.73 ,3.92 ,4.13 ,4.33 ,4.58 ,4.82 ,5.08 ,5.35 ,5.65 ,5.96 ,6.26 ,6.54 ,6.87 ,7.22 ,7.61 
Armenia,11.26 ,11.83 ,12.42 ,13.04 ,13.71 ,14.41 ,15.14 ,15.91 ,16.75 ,17.62 ,18.54 ,19.52 ,20.52 ,21.59 ,22.71 ,23.89 ,25.11 ,26.41 ,27.77 ,29.2 ,30.66 
Austria,3.62 ,3.58 ,3.56 ,3.57 ,3.61 ,3.67 ,3.77 ,3.9 ,4.05 ,4.2 ,4.34 ,4.45 ,4.54 ,4.63 ,4.75 ,4.9 ,5.06 ,5.21 ,5.33 ,5.42 ,5.51 
Azerbaijan,19.43 ,20.42 ,21.55 ,22.89 ,24.48 ,26.3 ,28.26 ,30.32 ,32.51 ,34.83 ,37.31 ,39.93 ,42.68 ,45.59 ,48.68 ,52.02 ,55.73 ,59.85 ,64.46 ,69.42 ,74.59 
Belarus,2.91 ,3.13 ,3.38 ,3.62 ,3.86 ,4.09 ,4.32 ,4.57 ,4.86 ,5.19 ,5.59 ,6.07 ,6.64 ,7.3 ,8.02 ,8.74 ,9.43 ,10.14 ,10.94 ,11.83 ,12.76 
Belgium,4.11 ,4.11 ,4.09 ,4.07 ,4.06 ,4.08 ,4.12 ,4.19 ,4.27 ,4.36 ,4.46 ,4.56 ,4.67 ,4.79 ,4.91 ,5.04 ,5.17 ,5.33 ,5.51 ,5.68 ,5.86 
Bosnia and Herzegovina,5.75 ,5.88 ,6.01 ,6.11 ,6.19 ,6.26 ,6.36 ,6.49 ,6.66 ,6.9 ,7.19 ,7.54 ,7.91 ,8.28 ,8.61 ,8.87 ,9.05 ,9.18 ,9.34 ,9.56 ,9.89 
Bulgaria,6.48 ,6.7 ,6.98 ,7.32 ,7.69 ,8.13 ,8.66 ,9.24 ,9.84 ,10.39 ,10.83 ,11.13 ,11.39 ,11.78 ,12.43 ,13.28 ,14.22 ,15.15 ,15.99 ,16.7 ,17.41 
Croatia,4.68 ,4.72 ,4.76 ,4.81 ,4.86 ,4.92 ,4.98 ,5.07 ,5.17 ,5.31 ,5.47 ,5.67 ,5.9 ,6.15 ,6.42 ,6.72 ,7.03 ,7.35 ,7.67 ,7.99 ,8.3 
Cyprus,2.8 ,2.8 ,2.76 ,2.74 ,2.75 ,2.79 ,2.87 ,2.99 ,3.13 ,3.29 ,3.46 ,3.63 ,3.81 ,4.03 ,4.3 ,4.6 ,4.96 ,5.33 ,5.72 ,6.11 ,6.52 
Czechia,2.89 ,3.02 ,3.12 ,3.18 ,3.19 ,3.17 ,3.15 ,3.15 ,3.19 ,3.27 ,3.38 ,3.54 ,3.72 ,3.92 ,4.13 ,4.35 ,4.57 ,4.78 ,4.98 ,5.19 ,5.46 
Denmark,3.68 ,3.78 ,3.88 ,3.97 ,4.03 ,4.08 ,4.09 ,4.09 ,4.08 ,4.09 ,4.12 ,4.2 ,4.32 ,4.47 ,4.65 ,4.84 ,5.03 ,5.22 ,5.38 ,5.52 ,5.63 
Estonia,2.13 ,2.29 ,2.47 ,2.67 ,2.89 ,3.11 ,3.36 ,3.62 ,3.9 ,4.23 ,4.59 ,5 ,5.46 ,5.97 ,6.53 ,7.14 ,7.8 ,8.52 ,9.3 ,10.14 ,11.02 
Finland,2.22 ,2.27 ,2.32 ,2.37 ,2.42 ,2.49 ,2.56 ,2.66 ,2.77 ,2.89 ,3.02 ,3.17 ,3.32 ,3.47 ,3.61 ,3.75 ,3.86 ,3.96 ,4.06 ,4.17 ,4.28 
France,4.37 ,4.35 ,4.31 ,4.26 ,4.21 ,4.16 ,4.12 ,4.1 ,4.11 ,4.15 ,4.21 ,4.29 ,4.37 ,4.44 ,4.52 ,4.62 ,4.76 ,4.93 ,5.1 ,5.26 ,5.39 
Georgia,9.58 ,9.7 ,9.84 ,10 ,10.22 ,10.5 ,10.88 ,11.4 ,12.1 ,13.01 ,14.15 ,15.54 ,17.19 ,19.09 ,21.26 ,23.66 ,26.23 ,28.93 ,31.66 ,34.31 ,36.8 
Germany,3.65 ,3.73 ,3.8 ,3.86 ,3.9 ,3.93 ,3.96 ,3.99 ,4.04 ,4.1 ,4.18 ,4.27 ,4.37 ,4.49 ,4.61 ,4.73 ,4.85 ,4.97 ,5.09 ,5.22 ,5.35 
Greece,3.87 ,4.03 ,4.19 ,4.33 ,4.4 ,4.37 ,4.28 ,4.16 ,4.03 ,3.94 ,3.9 ,3.91 ,3.99 ,4.12 ,4.32 ,4.57 ,4.87 ,5.2 ,5.57 ,5.97 ,6.41 
Hungary,4.05 ,4.12 ,4.25 ,4.45 ,4.73 ,5.06 ,5.38 ,5.61 ,5.74 ,5.86 ,6.01 ,6.22 ,6.51 ,6.85 ,7.21 ,7.55 ,7.93 ,8.4 ,8.96 ,9.56 ,10.14 
Iceland,2.67 ,2.69 ,2.69 ,2.67 ,2.65 ,2.64 ,2.63 ,2.62 ,2.63 ,2.64 ,2.67 ,2.72 ,2.78 ,2.86 ,2.96 ,3.07 ,3.21 ,3.38 ,3.57 ,3.78 ,4.02 
Ireland,3.22 ,3.31 ,3.4 ,3.49 ,3.6 ,3.7 ,3.8 ,3.89 ,3.97 ,4.06 ,4.17 ,4.29 ,4.43 ,4.62 ,4.86 ,5.19 ,5.59 ,6.04 ,6.49 ,6.88 ,7.14 
Israel,3.44 ,3.54 ,3.65 ,3.75 ,3.84 ,3.93 ,4.03 ,4.14 ,4.27 ,4.41 ,4.56 ,4.72 ,4.9 ,5.1 ,5.33 ,5.58 ,5.85 ,6.13 ,6.39 ,6.65 ,6.89 
Italy,2.8 ,2.99 ,3.17 ,3.32 ,3.44 ,3.53 ,3.61 ,3.69 ,3.77 ,3.87 ,3.96 ,4.06 ,4.15 ,4.24 ,4.34 ,4.47 ,4.63 ,4.83 ,5.06 ,5.3 ,5.57 
Kazakhstan,10.22 ,10.19 ,10.26 ,10.52 ,11.03 ,11.86 ,13.04 ,14.56 ,16.34 ,18.29 ,20.37 ,22.51 ,24.68 ,26.86 ,29 ,31.1 ,33.17 ,35.25 ,37.48 ,39.97 ,42.61 
Kyrgyzstan,17.76 ,18.29 ,19.03 ,19.97 ,21.09 ,22.27 ,23.45 ,24.68 ,26.06 ,27.7 ,29.58 ,31.65 ,33.82 ,35.85 ,37.63 ,39.3 ,41.03 ,42.89 ,45 ,47.35 ,49.87 
Latvia,3.82 ,3.98 ,4.18 ,4.42 ,4.71 ,5.07 ,5.51 ,6.05 ,6.65 ,7.23 ,7.79 ,8.31 ,8.81 ,9.33 ,9.88 ,10.49 ,11.15 ,11.86 ,12.61 ,13.38 ,14.22 
Lithuania,3.5 ,3.76 ,4.08 ,4.41 ,4.69 ,4.88 ,4.99 ,5.05 ,5.19 ,5.52 ,6.04 ,6.69 ,7.37 ,8.03 ,8.58 ,9 ,9.33 ,9.59 ,9.88 ,10.26 ,10.71 
Luxembourg,2.78 ,2.81 ,2.82 ,2.81 ,2.79 ,2.77 ,2.76 ,2.76 ,2.77 ,2.8 ,2.84 ,2.9 ,2.98 ,3.08 ,3.21 ,3.36 ,3.54 ,3.76 ,3.99 ,4.25 ,4.53 
Malta,5.98 ,6.13 ,6.27 ,6.39 ,6.5 ,6.6 ,6.68 ,6.74 ,6.78 ,6.81 ,6.82 ,6.83 ,6.84 ,6.84 ,6.86 ,6.88 ,6.95 ,7.04 ,7.18 ,7.37 ,7.62 
Monaco,3.02 ,3.12 ,3.22 ,3.32 ,3.42 ,3.52 ,3.62 ,3.72 ,3.81 ,3.91 ,3.99 ,4.09 ,4.18 ,4.28 ,4.38 ,4.48 ,4.59 ,4.71 ,4.84 ,4.99 ,5.15 
Montenegro,2.46 ,2.7 ,2.99 ,3.32 ,3.68 ,4.07 ,4.51 ,4.99 ,5.52 ,6.1 ,6.73 ,7.41 ,8.14 ,8.91 ,9.72 ,10.55 ,11.37 ,12.19 ,12.94 ,13.63 ,14.2 
Netherlands,4.05 ,4.05 ,4.04 ,4.04 ,4.05 ,4.06 ,4.1 ,4.15 ,4.22 ,4.31 ,4.43 ,4.57 ,4.73 ,4.91 ,5.11 ,5.32 ,5.52 ,5.72 ,5.9 ,6.05 ,6.19 
North Macedonia,5.93 ,6.79 ,8.08 ,9.62 ,10.88 ,11.35 ,11.16 ,10.64 ,10.14 ,10 ,10.35 ,11 ,11.66 ,12.28 ,12.98 ,13.72 ,14.26 ,14.36 ,14.33 ,14.77 ,15.95 
Norway,2.26 ,2.35 ,2.45 ,2.54 ,2.63 ,2.72 ,2.81 ,2.91 ,3.01 ,3.14 ,3.27 ,3.42 ,3.58 ,3.73 ,3.89 ,4.05 ,4.22 ,4.39 ,4.56 ,4.71 ,4.86 
Poland,4.36 ,4.42 ,4.53 ,4.66 ,4.77 ,4.89 ,5.03 ,5.21 ,5.42 ,5.67 ,5.96 ,6.31 ,6.68 ,7.03 ,7.31 ,7.56 ,7.82 ,8.11 ,8.43 ,8.82 ,9.31 
Portugal,3.28 ,3.44 ,3.56 ,3.63 ,3.65 ,3.65 ,3.65 ,3.66 ,3.69 ,3.74 ,3.81 ,3.91 ,4.02 ,4.17 ,4.36 ,4.63 ,5.01 ,5.51 ,6.06 ,6.64 ,7.2 
Republic of Moldova,14.5 ,14.74 ,15.03 ,15.27 ,15.53 ,15.78 ,16.03 ,16.29 ,16.57 ,16.84 ,17.09 ,17.33 ,17.7 ,18.15 ,18.82 ,19.83 ,21.23 ,23.14 ,25.59 ,28.39 ,31.46 
Romania,6.7 ,7.02 ,7.42 ,7.92 ,8.53 ,9.22 ,9.92 ,10.59 ,11.22 ,11.81 ,12.39 ,13.06 ,13.9 ,15.1 ,16.69 ,18.27 ,19.32 ,19.84 ,20.17 ,20.64 ,21.45 
Russian Federation,5.41 ,5.84 ,6.33 ,6.9 ,7.54 ,8.25 ,8.93 ,9.47 ,9.87 ,10.16 ,10.42 ,10.75 ,11.26 ,11.97 ,12.85 ,13.86 ,14.97 ,16.14 ,17.31 ,18.41 ,19.37 
San Marino,1.78 ,1.85 ,1.93 ,2.01 ,2.11 ,2.22 ,2.33 ,2.45 ,2.57 ,2.71 ,2.85 ,3.01 ,3.2 ,3.4 ,3.62 ,3.87 ,4.14 ,4.44 ,4.78 ,5.17 ,5.6 
Serbia,5.58 ,5.68 ,5.78 ,5.91 ,6.09 ,6.31 ,6.56 ,6.83 ,7.1 ,7.36 ,7.59 ,7.77 ,7.94 ,8.17 ,8.51 ,9.01 ,9.71 ,10.54 ,11.35 ,12 ,12.61 
Slovakia,5.73 ,5.82 ,5.92 ,6.02 ,6.13 ,6.25 ,6.37 ,6.5 ,6.65 ,6.81 ,7 ,7.2 ,7.43 ,7.67 ,7.93 ,8.2 ,8.48 ,8.77 ,9.08 ,9.4 ,9.75 
Slovenia,2.24 ,2.3 ,2.37 ,2.44 ,2.52 ,2.6 ,2.7 ,2.82 ,2.94 ,3.08 ,3.23 ,3.4 ,3.58 ,3.77 ,3.98 ,4.19 ,4.42 ,4.66 ,4.91 ,5.18 ,5.46 
Spain,3.11 ,3.17 ,3.21 ,3.24 ,3.28 ,3.32 ,3.37 ,3.46 ,3.57 ,3.7 ,3.85 ,4.01 ,4.18 ,4.36 ,4.54 ,4.72 ,4.88 ,5.02 ,5.15 ,5.27 ,5.42 
Sweden,2.55 ,2.63 ,2.7 ,2.77 ,2.82 ,2.87 ,2.91 ,2.94 ,2.97 ,3.01 ,3.06 ,3.13 ,3.21 ,3.32 ,3.45 ,3.6 ,3.74 ,3.88 ,3.98 ,4.05 ,4.1 
Switzerland,3.91 ,3.98 ,4.06 ,4.14 ,4.22 ,4.29 ,4.35 ,4.4 ,4.45 ,4.5 ,4.56 ,4.64 ,4.73 ,4.83 ,4.94 ,5.06 ,5.19 ,5.31 ,5.43 ,5.54 ,5.64 
Tajikistan,32.47 ,33.5 ,34.46 ,35.53 ,36.5 ,37.42 ,38.39 ,39.39 ,40.39 ,41.58 ,42.92 ,44.53 ,46.47 ,48.97 ,52.1 ,55.87 ,60.36 ,65.6 ,71.28 ,77.29 ,83.66 
Turkmenistan,42.22 ,42.8 ,43.18 ,43.15 ,42.84 ,42.44 ,42.15 ,42.08 ,42.17 ,42.6 ,43.23 ,44.2 ,45.63 ,47.45 ,49.63 ,52.24 ,55.23 ,58.64 ,62.26 ,66.06 ,69.83 
TÃ¼rkiye,9.49 ,10.07 ,10.71 ,11.41 ,12.15 ,12.95 ,13.81 ,14.74 ,15.77 ,16.89 ,18.11 ,19.46 ,20.91 ,22.5 ,24.25 ,26.11 ,28.15 ,30.34 ,32.68 ,35.2 ,37.88 
Ukraine,8.35 ,8.5 ,8.68 ,8.9 ,9.15 ,9.45 ,9.79 ,10.19 ,10.65 ,11.16 ,11.72 ,12.3 ,12.87 ,13.43 ,13.95 ,14.51 ,15.15 ,15.86 ,16.65 ,17.45 ,18.24 
United Kingdom of Great Britain and Northern Ireland,4.26 ,4.32 ,4.36 ,4.4 ,4.43 ,4.47 ,4.54 ,4.65 ,4.79 ,4.97 ,5.17 ,5.37 ,5.57 ,5.75 ,5.91 ,6.04 ,6.15 ,6.25 ,6.35 ,6.44 ,6.55 
Uzbekistan,14.73 ,15.42 ,16.17 ,17.01 ,18.02 ,19.19 ,20.52 ,22.06 ,23.8 ,25.8 ,28.04 ,30.51 ,33.19 ,36.19 ,39.37 ,42.7 ,46.22 ,49.85 ,53.51 ,57.12 ,60.5 
