Countries,2000_DWU,2001_DWU,2002_DWU,2003_DWU,2004_DWU,2005_DWU,2006_DWU,2007_DWU,2008_DWU,2009_DWU,2010_DWU,2011_DWU,2012_DWU,2013_DWU,2014_DWU,2015_DWU,2016_DWU,2017_DWU,2018_DWU,2019_DWU,2020_DWU,2000_LE60,2010_LE60,2015_LE60,2019_LE60
Latvia,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,18.3,19.2,20.4,20.5
Lebanon,86.0,86.0,87.0,87.0,87.0,88.0,88.0,88.0,89.0,89.0,89.0,90.0,90.0,91.0,91.0,91.0,92.0,92.0,92.0,93.0,93.0,19.8,19.9,20.1,20.5
Lesotho,66.0,66.0,67.0,67.0,67.0,68.0,68.0,68.0,68.0,69.0,69.0,69.0,70.0,70.0,70.0,71.0,71.0,71.0,72.0,72.0,72.0,13.9,12.8,12.7,13.4
Liberia,62.0,63.0,64.0,64.0,65.0,66.0,67.0,68.0,68.0,69.0,70.0,70.0,71.0,71.0,72.0,73.0,73.0,74.0,74.0,75.0,75.0,15.8,16.7,17.1,17.7
Libya,84.0,85.0,86.0,87.0,88.0,89.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0,96.0,96.0,97.0,98.0,99.0,100.0,100.0,100.0,21.0,21.5,21.3,21.3
Lithuania,90.0,90.0,91.0,91.0,91.0,92.0,92.0,93.0,93.0,94.0,94.0,95.0,95.0,96.0,96.0,97.0,97.0,98.0,98.0,98.0,98.0,19.5,19.9,20.3,20.9
Luxembourg,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21.8,23.5,24.4,24.4
Madagascar,36.0,37.0,38.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,52.0,53.0,15.4,16.1,16.5,16.8
Malawi,54.0,55.0,56.0,56.0,57.0,58.0,59.0,60.0,61.0,61.0,62.0,63.0,64.0,65.0,65.0,66.0,67.0,68.0,69.0,69.0,70.0,14.0,16.0,16.9,17.2
Malaysia,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,18.1,19.2,19.9,19.5
Maldives,94.0,94.0,95.0,95.0,95.0,96.0,96.0,96.0,97.0,97.0,97.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,18.0,20.3,21.3,22.1
Mali,49.0,51.0,53.0,54.0,56.0,58.0,59.0,61.0,63.0,64.0,66.0,68.0,69.0,71.0,73.0,74.0,76.0,78.0,79.0,81.0,83.0,16.0,16.8,17.1,17.5
Malta,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,20.8,23.2,24.2,24.5
Mauritania,41.0,42.0,44.0,45.0,47.0,49.0,51.0,52.0,54.0,56.0,58.0,60.0,61.0,63.0,65.0,67.0,69.0,71.0,71.0,71.0,72.0,17.1,18.5,18.8,19.0
Mauritius,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,17.8,19.4,20.2,20.3
Mexico,90.0,91.0,91.0,92.0,92.0,93.0,94.0,94.0,95.0,95.0,96.0,96.0,97.0,97.0,98.0,98.0,98.0,99.0,99.0,99.0,100.0,21.6,21.5,21.7,21.8
Micronesia (Federated States of),85.0,86.0,86.0,86.0,86.0,86.0,87.0,87.0,87.0,87.0,87.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,87.84302325581395,14.6,14.9,14.8,14.7
Mongolia,62.0,64.0,65.0,66.0,68.0,69.0,71.0,72.0,73.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,85.0,13.4,15.1,16.5,16.4
Montenegro,79.93785310734464,80.35028248587571,80.69832402234637,81.08938547486034,81.53072625698324,82.13812154696133,95.0,95.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,98.0,98.0,99.0,99.0,99.0,19.2,19.0,19.0,19.4
Morocco,62.0,64.0,65.0,66.0,68.0,69.0,71.0,72.0,74.0,75.0,77.0,78.0,80.0,81.0,82.0,84.0,85.0,86.0,88.0,89.0,90.0,18.4,18.7,18.5,18.7
Mozambique,21.0,22.0,24.0,26.0,28.0,29.0,31.0,33.0,35.0,38.0,40.0,42.0,44.0,47.0,49.0,51.0,54.0,56.0,58.0,61.0,63.0,15.2,15.1,15.3,15.8
Myanmar,47.0,49.0,50.0,52.0,54.0,55.0,57.0,59.0,60.0,62.0,64.0,66.0,68.0,70.0,72.0,74.0,76.0,78.0,80.0,82.0,84.0,15.4,17.0,17.7,18.1
Namibia,76.0,77.0,77.0,78.0,78.0,78.0,79.0,79.0,80.0,80.0,81.0,81.0,81.0,82.0,82.0,83.0,83.0,83.0,84.0,84.0,84.0,14.6,16.4,17.0,17.2
Nepal,80.0,81.0,81.0,82.0,82.0,83.0,83.0,84.0,84.0,85.0,85.0,86.0,86.0,87.0,87.0,88.0,88.0,89.0,89.0,90.0,90.0,17.6,18.1,17.8,18.0
Netherlands,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21.3,23.3,23.6,24.1
New Zealand,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,22.4,24.2,24.3,24.8
Nicaragua,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,82.0,82.0,82.0,20.1,19.6,19.9,20.0
Niger,37.0,38.0,38.0,39.0,40.0,41.0,41.0,42.0,42.0,43.0,43.0,44.0,44.0,45.0,45.0,45.0,46.0,46.0,46.0,47.0,47.0,15.8,16.6,16.8,17.2
Nigeria,43.0,45.0,46.0,48.0,50.0,51.0,53.0,55.0,57.0,58.0,60.0,62.0,64.0,65.0,67.0,69.0,71.0,72.0,74.0,76.0,78.0,16.2,17.3,17.8,18.2
Norway,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,22.0,23.5,24.2,24.7
Oman,86.0,86.0,86.0,86.0,86.0,86.0,86.0,87.0,87.0,87.0,88.0,88.0,89.0,89.0,90.0,90.0,91.0,91.0,92.0,92.0,92.0,15.6,15.9,16.7,17.8
Pakistan,87.0,87.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,90.0,90.0,90.0,90.0,90.0,15.7,16.4,16.8,17.3
Panama,90.0,90.0,90.0,91.0,91.0,91.0,91.0,91.0,92.0,92.0,92.0,92.0,92.0,92.0,93.0,93.0,93.0,94.0,94.0,94.0,94.0,23.3,23.3,24.0,24.3
Papua New Guinea,33.0,33.0,33.0,33.0,33.0,34.0,35.0,35.0,36.0,37.0,38.0,38.0,39.0,40.0,41.0,41.0,42.0,43.0,44.0,45.0,45.0,16.4,16.1,16.3,16.5
Paraguay,76.0,77.0,79.0,80.0,82.0,83.0,85.0,86.0,88.0,89.0,90.0,92.0,93.0,94.0,96.0,97.0,98.0,99.0,100.0,100.0,100.0,22.0,21.6,21.8,21.8
Peru,80.0,81.0,82.0,83.0,83.0,84.0,85.0,85.0,86.0,87.0,87.0,88.0,89.0,89.0,90.0,90.0,91.0,91.0,92.0,93.0,93.0,22.3,23.0,24.0,24.4
Philippines,86.0,86.0,87.0,87.0,88.0,88.0,88.0,89.0,89.0,90.0,90.0,90.0,91.0,91.0,92.0,92.0,92.0,93.0,93.0,94.0,94.0,17.6,18.0,17.8,17.8
Poland,79.93785310734464,80.35028248587571,80.69832402234637,81.08938547486034,81.53072625698324,98.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,19.2,21.0,21.5,22.1
Portugal,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21.2,23.1,23.8,24.3
Qatar,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15.9,17.3,19.0,19.5
Republic of Korea,79.93785310734464,80.35028248587571,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,20.7,23.7,24.8,25.8
Republic of Moldova,83.0,83.0,84.0,84.0,84.0,85.0,85.0,85.0,86.0,86.0,87.0,87.0,87.0,88.0,88.0,89.0,89.0,89.0,90.0,90.0,91.0,15.8,16.5,17.8,19.0
North Macedonia,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,16.4,17.5,17.9,18.3
Romania,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,18.2,19.2,19.9,20.3
Russian Federation,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,97.0,16.4,17.8,19.1,19.9
Rwanda,45.0,46.0,47.0,48.0,49.0,49.0,50.0,51.0,52.0,52.0,53.0,54.0,55.0,56.0,56.0,57.0,58.0,59.0,60.0,60.0,60.0,13.4,17.4,17.9,18.0
Saint Lucia,90.0,90.0,90.0,91.0,91.0,91.0,92.0,92.0,93.0,93.0,93.0,94.0,94.0,95.0,95.0,96.0,96.0,96.0,97.0,97.0,97.0,20.0,22.0,21.7,20.9
Saint Vincent and the Grenadines,93.0,93.0,93.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,87.69886363636364,87.84302325581395,18.5,19.8,20.1,20.9
Samoa,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,90.0,90.0,90.0,90.0,91.0,91.0,91.0,91.0,92.0,92.0,92.0,92.0,92.0,17.1,17.5,17.7,17.9
Sao Tome and Principe,68.0,69.0,69.0,70.0,71.0,71.0,72.0,73.0,73.0,74.0,74.0,75.0,76.0,76.0,77.0,77.0,78.0,78.0,78.0,78.0,78.0,17.1,17.5,17.6,17.7
Saudi Arabia,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,17.5,18.3,19.2,19.9
Senegal,60.0,61.0,62.0,63.0,65.0,66.0,67.0,68.0,70.0,71.0,72.0,74.0,75.0,76.0,77.0,79.0,80.0,81.0,82.0,84.0,85.0,16.6,17.6,17.8,18.1
Serbia,89.0,89.0,89.0,89.0,89.0,90.0,90.0,90.0,91.0,91.0,91.0,92.0,92.0,93.0,93.0,93.0,94.0,94.0,95.0,95.0,95.0,17.1,18.6,19.2,19.6
Seychelles,93.0,94.0,94.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,97.0,87.84302325581395,19.0,19.3,19.5,19.5
Sierra Leone,41.0,41.0,42.0,43.0,44.0,46.0,47.0,48.0,49.0,51.0,52.0,53.0,54.0,55.0,57.0,58.0,59.0,60.0,61.0,63.0,64.0,15.4,15.7,16.4,17.0
Singapore,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21.5,24.1,25.1,25.5
Slovakia,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,18.5,19.8,21.0,21.8
Slovenia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,20.5,22.8,23.3,23.8
Solomon Islands,79.0,79.0,79.0,79.0,79.0,78.0,77.0,76.0,75.0,74.0,74.0,73.0,72.0,71.0,70.0,69.0,69.0,68.0,67.0,67.0,67.0,14.4,14.9,15.3,15.5
Somalia,24.0,25.0,27.0,29.0,30.0,32.0,34.0,34.0,36.0,38.0,40.0,42.0,44.0,46.0,47.0,49.0,50.0,52.0,53.0,55.0,56.0,13.1,13.7,14.2,14.5
South Africa,84.0,85.0,86.0,86.0,87.0,87.0,88.0,88.0,89.0,89.0,90.0,90.0,91.0,91.0,91.0,92.0,92.0,93.0,93.0,94.0,94.0,16.2,16.9,17.7,19.1
South Sudan,79.93785310734464,80.35028248587571,80.69832402234637,81.08938547486034,81.53072625698324,82.13812154696133,82.65384615384616,83.04395604395604,83.41436464088397,83.83977900552486,84.25966850828729,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,16.3,17.2,17.4,17.8
Spain,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,22.7,24.4,24.7,25.4
Sri Lanka,80.0,81.0,81.0,82.0,83.0,83.0,84.0,85.0,85.0,86.0,87.0,87.0,88.0,89.0,89.0,90.0,91.0,92.0,92.0,92.0,92.0,19.6,20.0,20.7,20.8
Sudan,43.0,43.0,43.0,43.0,43.0,45.0,46.0,48.0,49.0,50.0,52.0,53.0,55.0,56.0,58.0,59.0,60.0,60.0,60.0,60.0,60.0,17.3,18.2,18.5,18.6
Suriname,89.0,90.0,90.0,90.0,91.0,91.0,92.0,92.0,93.0,93.0,94.0,94.0,94.0,95.0,95.0,96.0,96.0,97.0,97.0,98.0,98.0,18.9,19.9,19.8,18.5
Sweden,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,22.4,23.7,24.0,24.5
Switzerland,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,24.6,24.8,25.4
Syrian Arab Republic,91.0,92.0,92.0,92.0,92.0,92.0,92.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,94.0,94.0,94.0,94.0,94.0,94.0,17.6,19.2,16.2,18.7
Tajikistan,57.0,58.0,59.0,60.0,62.0,63.0,64.0,66.0,67.0,68.0,69.0,71.0,72.0,73.0,75.0,76.0,78.0,79.0,80.0,82.0,82.0,17.2,15.6,15.5,16.1
Thailand,94.0,94.0,95.0,95.0,96.0,96.0,96.0,97.0,97.0,97.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,20.8,22.8,23.5,23.6
Timor-Leste,79.93785310734464,80.35028248587571,50.0,52.0,54.0,55.0,57.0,58.0,60.0,62.0,64.0,66.0,69.0,71.0,73.0,75.0,78.0,80.0,82.0,84.0,85.0,17.9,18.3,18.0,17.9
Togo,45.0,47.0,48.0,49.0,50.0,52.0,53.0,54.0,55.0,56.0,58.0,59.0,60.0,61.0,62.0,64.0,65.0,66.0,67.0,68.0,69.0,15.7,15.9,16.5,17.0
Tonga,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,18.0,18.9,18.9,19.0
Trinidad and Tobago,92.0,93.0,93.0,93.0,94.0,94.0,94.0,95.0,95.0,95.0,96.0,96.0,96.0,97.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,18.1,19.6,21.6,22.7
Tunisia,89.0,89.0,89.0,90.0,90.0,90.0,91.0,91.0,92.0,92.0,92.0,92.0,93.0,94.0,94.0,95.0,95.0,96.0,97.0,97.0,98.0,20.1,20.9,21.2,21.5
Türkiye,94.0,94.0,94.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,21.5,21.2,21.5,22.0
Turkmenistan,87.0,88.0,88.0,89.0,90.0,91.0,91.0,92.0,93.0,93.0,94.0,95.0,96.0,96.0,97.0,98.0,98.0,99.0,99.0,100.0,100.0,16.3,17.2,18.0,18.7
Uganda,27.0,28.0,29.0,30.0,32.0,33.0,34.0,36.0,37.0,39.0,40.0,42.0,43.0,45.0,46.0,48.0,49.0,51.0,53.0,54.0,56.0,14.7,16.7,17.4,17.7
Ukraine,98.0,98.0,98.0,98.0,98.0,97.0,97.0,96.0,96.0,96.0,95.0,95.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,16.8,17.7,18.9,19.5
United Arab Emirates,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,18.7,19.5,19.4,19.9
United Kingdom of Great Britain and Northern Ireland,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21.3,23.4,23.5,24.1
United Republic of Tanzania,28.0,29.0,30.0,32.0,34.0,35.0,37.0,39.0,40.0,42.0,44.0,46.0,48.0,49.0,51.0,53.0,55.0,57.0,59.0,60.0,61.0,16.0,17.3,17.8,18.2
United States of America,79.93785310734464,80.35028248587571,80.69832402234637,81.08938547486034,81.53072625698324,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,21.4,23.0,23.1,23.1
Uruguay,97.0,97.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,20.6,21.2,21.8,21.7
Uzbekistan,85.0,86.0,88.0,89.0,90.0,92.0,93.0,94.0,95.0,96.0,96.0,96.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,16.0,17.3,17.8,18.6
Vanuatu,82.0,82.0,82.0,82.0,82.0,83.0,84.0,84.0,85.0,86.0,86.0,87.0,88.0,89.0,89.0,90.0,91.0,91.0,91.0,91.0,91.0,15.0,15.3,15.5,15.7
Venezuela (Bolivarian Republic of),97.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0,94.0,94.0,94.0,21.3,21.9,21.8,21.7
Viet Nam,81.0,81.0,82.0,83.0,84.0,85.0,86.0,86.0,87.0,88.0,89.0,90.0,90.0,91.0,92.0,93.0,94.0,95.0,96.0,96.0,97.0,18.9,19.2,19.4,19.6
Yemen,41.0,41.0,41.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,16.8,17.8,18.0,17.8
Zambia,48.0,49.0,50.0,51.0,52.0,53.0,54.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,61.0,62.0,63.0,64.0,65.0,65.0,13.2,15.4,16.1,16.5
Zimbabwe,72.0,72.0,72.0,71.0,71.0,70.0,70.0,69.0,69.0,68.0,68.0,67.0,66.0,66.0,65.0,65.0,64.0,64.0,64.0,63.0,63.0,14.4,14.1,15.1,15.6
